Marka,Yil,Kilometre,Talep_Skoru,Fiyat
Hyundai,2011.0,64000.0,80,560000.0
Hyundai,2013.0,280000.0,80,345900.0
Hyundai,2010.0,192000.0,80,440000.0
Hyundai,2024.0,6184.0,80,1215000.0
Hyundai,2015.0,190500.0,80,630000.0
Hyundai,2017.0,87000.0,80,875000.0
Hyundai,2018.0,187000.0,80,870000.0
Hyundai,2019.0,150000.0,80,910000.0
Hyundai,2017.0,177000.0,80,655000.0
Hyundai,2009.0,129000.0,80,500000.0
Hyundai,2011.0,291000.0,80,315900.0
Hyundai,2016.0,110000.0,80,945750.0
Hyundai,2020.0,114000.0,80,1030000.0
Hyundai,2024.0,6684.0,80,1250000.0
Hyundai,2015.0,159000.0,80,839000.0
Hyundai,2004.0,233000.0,80,209000.0
Hyundai,2017.0,168000.0,80,905000.0
Hyundai,2015.0,80000.0,80,785000.0
Hyundai,2015.0,54470.0,80,925000.0
Hyundai,2015.0,181000.0,80,830000.0
Hyundai,2021.0,73000.0,80,1179000.0
Hyundai,2023.0,28000.0,80,970000.0
Hyundai,2010.0,287000.0,80,458000.0
Hyundai,2017.0,84500.0,80,1225000.0
Hyundai,2013.0,122000.0,80,690000.0
Hyundai,2018.0,86000.0,80,1080000.0
Hyundai,2014.0,119000.0,80,785000.0
Hyundai,2007.0,230000.0,80,535000.0
Hyundai,2008.0,292000.0,80,395000.0
Hyundai,2004.0,278000.0,80,335000.0
Hyundai,2012.0,208000.0,80,579500.0
Hyundai,2010.0,119000.0,80,398500.0
Hyundai,2013.0,199000.0,80,449000.0
Hyundai,2010.0,129000.0,80,580000.0
Hyundai,2015.0,114000.0,80,845000.0
Hyundai,2019.0,36200.0,80,970000.0
Hyundai,2009.0,215000.0,80,525000.0
Hyundai,2012.0,248500.0,80,444500.0
Dacia,2020.0,123000.0,75,830000.0
Dacia,2023.0,69000.0,75,899000.0
Dacia,2015.0,180000.0,75,620000.0
Dacia,2013.0,97000.0,75,650000.0
Dacia,2014.0,147000.0,75,520000.0
Dacia,2015.0,158000.0,75,735000.0
Dacia,2019.0,53749.0,75,636000.0
Dacia,2021.0,79500.0,75,829950.0
Dacia,2012.0,270000.0,75,499000.0
Dacia,2015.0,330000.0,75,525000.0
Dacia,2017.0,148000.0,75,765000.0
Dacia,2022.0,109000.0,75,800000.0
Dacia,2009.0,148000.0,75,419750.0
Dacia,2020.0,104750.0,75,865000.0
Dacia,2020.0,88000.0,75,769950.0
Dacia,2011.0,295000.0,75,279000.0
Dacia,2017.0,235000.0,75,635000.0
Dacia,2015.0,208000.0,75,620000.0
Dacia,2006.0,344000.0,75,325000.0
Dacia,2010.0,90000.0,75,467500.0
Dacia,2012.0,265885.0,75,398000.0
Dacia,2014.0,113000.0,75,805000.0
Dacia,2013.0,187000.0,75,640000.0
Dacia,2004.0,275000.0,75,160000.0
Dacia,2019.0,68000.0,75,799950.0
Dacia,2006.0,233000.0,75,345000.0
Dacia,2013.0,138000.0,75,850000.0
Dacia,2018.0,145000.0,75,865000.0
Dacia,2016.0,82500.0,75,759999.0
Dacia,2016.0,115000.0,75,765000.0
Dacia,2008.0,246000.0,75,330000.0
Dacia,2006.0,460000.0,75,290000.0
Dacia,2015.0,120000.0,75,350000.0
Dacia,2021.0,74080.0,75,925750.0
Dacia,2017.0,102000.0,75,677000.0
Dacia,2017.0,219000.0,75,685750.0
Dacia,2015.0,206250.0,75,489500.0
Dacia,2023.0,31000.0,75,1050000.0
